county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
PRESIDIO,4399,0.39190725164810186,2675,1133,65.72,561,32.54,"Dec 13, 2022, 10:49PM",Beto O'Rourke,572
RAINS,8775,0.5683190883190883,3788,596,11.95,4339,87.01,"Dec 13, 2022, 10:49PM",Greg Abbott,3743
RANDALL,95933,0.5005472569397392,47914,8228,17.13,39243,81.72,"Dec 13, 2022, 10:49PM",Greg Abbott,31015
REAGAN,1816,0.394273127753304,1100,90,12.57,616,86.03,"Dec 13, 2022, 10:49PM",Greg Abbott,526
REAL,2716,0.5776877761413843,1147,218,13.89,1337,85.21,"Dec 13, 2022, 10:49PM",Greg Abbott,1119
RED RIVER,8621,0.4957661524185129,4347,764,17.88,3482,81.47,"Dec 13, 2022, 10:49PM",Greg Abbott,2718
REEVES,7486,0.2908095110873631,5309,801,36.79,1341,61.6,"Dec 13, 2022, 10:49PM",Greg Abbott,540
REFUGIO,4913,0.47140240179116627,2597,639,27.59,1658,71.59,"Dec 13, 2022, 10:49PM",Greg Abbott,1019
ROBERTS,699,0.6351931330472103,255,7,1.58,430,96.85,"Dec 13, 2022, 10:49PM",Greg Abbott,423
ROBERTSON,12001,0.5013748854262144,5984,1293,21.49,4643,77.16,"Dec 13, 2022, 10:49PM",Greg Abbott,3350
ROCKWALL,79059,0.5422659026802767,36188,12132,28.3,30211,70.47,"Dec 13, 2022, 10:49PM",Greg Abbott,18079
RUNNELS,6723,0.4810352521195895,3489,277,8.57,2924,90.41,"Dec 13, 2022, 10:49PM",Greg Abbott,2647
RUSK,32951,0.4742799915025341,17323,2697,17.26,12762,81.66,"Dec 13, 2022, 10:49PM",Greg Abbott,10065
SABINE,8215,0.5069993913572732,4050,385,9.24,3755,90.16,"Dec 13, 2022, 10:49PM",Greg Abbott,3370
SAN AUGUSTINE,6052,0.4733972240581626,3187,546,19.06,2288,79.86,"Dec 13, 2022, 10:49PM",Greg Abbott,1742
SAN JACINTO,19809,0.48205361199454794,10260,1540,16.13,7882,82.54,"Dec 13, 2022, 10:49PM",Greg Abbott,6342
SAN PATRICIO,44067,0.40615426509633057,26169,5643,31.53,12028,67.2,"Dec 13, 2022, 10:49PM",Greg Abbott,6385
SAN SABA,3780,0.5727513227513228,1615,200,9.24,1947,89.93,"Dec 13, 2022, 10:49PM",Greg Abbott,1747
SCHLEICHER,1700,0.5929411764705882,692,159,15.77,834,82.74,"Dec 13, 2022, 10:49PM",Greg Abbott,675
SCURRY,9315,0.4431561996779388,5187,480,11.63,3607,87.38,"Dec 13, 2022, 10:49PM",Greg Abbott,3127
SHACKELFORD,2329,0.5319879776728209,1090,81,6.54,1148,92.66,"Dec 13, 2022, 10:49PM",Greg Abbott,1067
SHELBY,15922,0.4353724406481598,8990,1045,15.08,5846,84.33,"Dec 13, 2022, 10:49PM",Greg Abbott,4801
SHERMAN,1380,0.5130434782608696,672,35,4.94,665,93.93,"Dec 13, 2022, 10:49PM",Greg Abbott,630
SMITH,153936,0.49514083775075357,77716,18763,24.62,56608,74.27,"Dec 13, 2022, 10:49PM",Greg Abbott,37845
SOMERVELL,6995,0.5775553967119371,2955,553,13.69,3430,84.9,"Dec 13, 2022, 10:49PM",Greg Abbott,2877
STARR,34065,0.32634669015118156,22948,6455,58.06,4460,40.12,"Dec 13, 2022, 10:49PM",Beto O'Rourke,1995
STEPHENS,5712,0.4805672268907563,2967,217,7.91,2511,91.48,"Dec 13, 2022, 10:49PM",Greg Abbott,2294
STERLING,775,0.5780645161290323,327,20,4.46,423,94.42,"Dec 13, 2022, 10:49PM",Greg Abbott,403
